Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,Status
gifthamper,,,,,,,,,,,,,,,,,,,,https://res.cloudinary.com/duu26sqog/image/upload/v1775597062/scrunchcreate/products/gifthamper/sc-gifthamper-6.webp,19,Gifthamper view 19,
gifthamper,,,,,,,,,,,,,,,,,,,,https://res.cloudinary.com/duu26sqog/image/upload/v1775597063/scrunchcreate/products/gifthamper/sc-gifthamper-7.webp,20,Gifthamper view 20,
gifthamper,,,,,,,,,,,,,,,,,,,,https://res.cloudinary.com/duu26sqog/image/upload/v1775597064/scrunchcreate/products/gifthamper/sc-gifthamper-8.webp,21,Gifthamper view 21,
gifthamper,,,,,,,,,,,,,,,,,,,,https://res.cloudinary.com/duu26sqog/image/upload/v1775597066/scrunchcreate/products/gifthamper/sc-gifthamper-9.webp,22,Gifthamper view 22,
gifthamper-satin-hamper,Satin Hamper Gifthamper,<p>Elegant Satin Hamper.</p>,Scrunch & Create,Apparel & Accessories > Clothing Accessories > Hair Accessories,Gifthamper,"gifthamper, satin-hamper, Handmade, Hair Accessories",TRUE,Color,Black,satin-hamper-gifthamper-black,50,shopify,20,continue,manual,699,804,TRUE,FALSE,https://res.cloudinary.com/duu26sqog/image/upload/v1775597011/scrunchcreate/products/gifthamper/satin-hamper/black/sc-gifthamper-satin-hamper-black-1.webp,1,Satin Hamper Gifthamper - Black,active
gifthamper-satin-hamper,,,,,,,,Color,Cream,satin-hamper-gifthamper-cream,50,shopify,20,continue,manual,699,804,TRUE,FALSE,https://res.cloudinary.com/duu26sqog/image/upload/v1775597012/scrunchcreate/products/gifthamper/satin-hamper/cream/sc-gifthamper-satin-hamper-cream-1.webp,2,Satin Hamper Gifthamper - Cream,
gifthamper-satin-hamper,,,,,,,,Color,Grey,satin-hamper-gifthamper-grey,50,shopify,20,continue,manual,699,804,TRUE,FALSE,https://res.cloudinary.com/duu26sqog/image/upload/v1775597014/scrunchcreate/products/gifthamper/satin-hamper/grey/sc-gifthamper-satin-hamper-grey-1.webp,3,Satin Hamper Gifthamper - Grey,
gifthamper-satin-hamper,,,,,,,,Color,Light-yellow,satin-hamper-gifthamper-light-yellow,50,shopify,20,continue,manual,699,804,TRUE,FALSE,https://res.cloudinary.com/duu26sqog/image/upload/v1775597015/scrunchcreate/products/gifthamper/satin-hamper/light-yellow/sc-gifthamper-satin-hamper-light-yellow-1.webp,4,Satin Hamper Gifthamper - Light-yellow,
gifthamper-satin-hamper,,,,,,,,Color,Lilac,satin-hamper-gifthamper-lilac,50,shopify,20,continue,manual,699,804,TRUE,FALSE,https://res.cloudinary.com/duu26sqog/image/upload/v1775597016/scrunchcreate/products/gifthamper/satin-hamper/lilac/sc-gifthamper-satin-hamper-lilac-1.webp,5,Satin Hamper Gifthamper - Lilac,
gifthamper-satin-hamper,,,,,,,,Color,Magenta,satin-hamper-gifthamper-magenta,50,shopify,20,continue,manual,699,804,TRUE,FALSE,https://res.cloudinary.com/duu26sqog/image/upload/v1775597018/scrunchcreate/products/gifthamper/satin-hamper/lilac/sc-gifthamper-satin-hamper-lilac-2.webp,6,Satin Hamper Gifthamper - Magenta,
gifthamper-satin-hamper,,,,,,,,Color,Peach,satin-hamper-gifthamper-peach,50,shopify,20,continue,manual,699,804,TRUE,FALSE,https://res.cloudinary.com/duu26sqog/image/upload/v1775597019/scrunchcreate/products/gifthamper/satin-hamper/magenta/sc-gifthamper-satin-hamper-magenta-1.webp,7,Satin Hamper Gifthamper - Peach,
gifthamper-satin-hamper,,,,,,,,Color,Petrol-blue,satin-hamper-gifthamper-petrol-blue,50,shopify,20,continue,manual,699,804,TRUE,FALSE,https://res.cloudinary.com/duu26sqog/image/upload/v1775597020/scrunchcreate/products/gifthamper/satin-hamper/magenta/sc-gifthamper-satin-hamper-magenta-2.webp,8,Satin Hamper Gifthamper - Petrol-blue,
gifthamper-satin-hamper,,,,,,,,Color,Pistachio,satin-hamper-gifthamper-pistachio,50,shopify,20,continue,manual,699,804,TRUE,FALSE,https://res.cloudinary.com/duu26sqog/image/upload/v1775597022/scrunchcreate/products/gifthamper/satin-hamper/peach/sc-gifthamper-satin-hamper-peach-1.webp,9,Satin Hamper Gifthamper - Pistachio,
gifthamper-satin-hamper,,,,,,,,Color,Red,satin-hamper-gifthamper-red,50,shopify,20,continue,manual,699,804,TRUE,FALSE,https://res.cloudinary.com/duu26sqog/image/upload/v1775597024/scrunchcreate/products/gifthamper/satin-hamper/peach/sc-gifthamper-satin-hamper-peach-2.webp,10,Satin Hamper Gifthamper - Red,
gifthamper-satin-hamper,,,,,,,,Color,Sky-blue,satin-hamper-gifthamper-sky-blue,50,shopify,20,continue,manual,699,804,TRUE,FALSE,https://res.cloudinary.com/duu26sqog/image/upload/v1775597025/scrunchcreate/products/gifthamper/satin-hamper/petrol-blue/sc-gifthamper-satin-hamper-petrol-blue-1.webp,11,Satin Hamper Gifthamper - Sky-blue,
gifthamper-satin-hamper,,,,,,,,Color,Wine,satin-hamper-gifthamper-wine,50,shopify,20,continue,manual,699,804,TRUE,FALSE,https://res.cloudinary.com/duu26sqog/image/upload/v1775597027/scrunchcreate/products/gifthamper/satin-hamper/pistachio/sc-gifthamper-satin-hamper-pistachio-1.webp,12,Satin Hamper Gifthamper - Wine,
gifthamper-satin-hamper,,,,,,,,,,,,,,,,,,,,https://res.cloudinary.com/duu26sqog/image/upload/v1775597028/scrunchcreate/products/gifthamper/satin-hamper/red/sc-gifthamper-satin-hamper-red-1.webp,13,Satin Hamper Gifthamper view 13,
gifthamper-satin-hamper,,,,,,,,,,,,,,,,,,,,https://res.cloudinary.com/duu26sqog/image/upload/v1775597030/scrunchcreate/products/gifthamper/satin-hamper/red/sc-gifthamper-satin-hamper-red-2.webp,14,Satin Hamper Gifthamper view 14,
gifthamper-satin-hamper,,,,,,,,,,,,,,,,,,,,https://res.cloudinary.com/duu26sqog/image/upload/v1775597031/scrunchcreate/products/gifthamper/satin-hamper/red/sc-gifthamper-satin-hamper-red-3.webp,15,Satin Hamper Gifthamper view 15,
gifthamper-satin-hamper,,,,,,,,,,,,,,,,,,,,https://res.cloudinary.com/duu26sqog/image/upload/v1775597032/scrunchcreate/products/gifthamper/satin-hamper/red/sc-gifthamper-satin-hamper-red-4.webp,16,Satin Hamper Gifthamper view 16,
gifthamper-satin-hamper,,,,,,,,,,,,,,,,,,,,https://res.cloudinary.com/duu26sqog/image/upload/v1775597034/scrunchcreate/products/gifthamper/satin-hamper/red/sc-gifthamper-satin-hamper-red-5.webp,17,Satin Hamper Gifthamper view 17,
gifthamper-satin-hamper,,,,,,,,,,,,,,,,,,,,https://res.cloudinary.com/duu26sqog/image/upload/v1775597035/scrunchcreate/products/gifthamper/satin-hamper/sky-blue/sc-gifthamper-satin-hamper-sky-blue-1.webp,18,Satin Hamper Gifthamper view 18,
